department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
Finance,region_31,Bachelors,m,other,2,26,1,2,0,0,61,N
Operations,region_2,Bachelors,m,sourcing,2,57,4,6,0,0,58,N
Analytics,region_22,Bachelors,m,other,2,27,5,3,1,0,87,N
Sales & Marketing,region_22,Bachelors,m,other,1,40,2,4,1,0,47,N
Technology,region_28,Bachelors,m,sourcing,1,33,4,4,1,0,75,N
Sales & Marketing,region_7,Bachelors,f,sourcing,1,40,5,3,0,0,47,N
Sales & Marketing,region_1,Master & above,m,other,1,42,5,5,1,0,51,N
Sales & Marketing,region_28,Bachelors,m,sourcing,1,33,5,6,1,0,51,Y
Technology,region_15,Bachelors,m,other,1,34,3,10,0,0,80,N
Operations,region_2,Bachelors,f,other,2,23,4,2,1,0,57,N
HR,region_2,Bachelors,m,sourcing,1,59,4,26,1,0,52,N
Analytics,region_2,Bachelors,m,other,1,44,5,12,0,0,88,N
Procurement,region_17,Bachelors,f,sourcing,1,50,5,11,0,0,71,N
Procurement,region_13,Master & above,f,other,1,37,4,4,0,0,71,N
Technology,region_16,Bachelors,m,sourcing,1,40,3,11,0,0,80,N
Sales & Marketing,region_20,Bachelors,m,sourcing,1,30,3,3,1,0,49,N
Procurement,region_2,Master & above,f,sourcing,1,56,3,12,0,0,73,N
Finance,region_2,Bachelors,m,sourcing,1,20,4,2,1,0,60,N
Sales & Marketing,region_25,Bachelors,f,sourcing,1,31,3,8,0,0,48,N
Procurement,region_15,Bachelors,m,sourcing,1,40,3,12,1,0,65,N
HR,region_22,Bachelors,m,other,1,30,1,6,0,0,50,N
Operations,region_22,Bachelors,m,other,1,39,3,5,1,0,62,N
Analytics,region_31,Bachelors,m,other,2,26,2,2,0,0,85,N
R&D,region_22,Master & above,m,sourcing,1,40,3,5,1,0,84,N
Sales & Marketing,region_19,Bachelors,m,other,1,40,4,7,0,0,52,N
Sales & Marketing,region_4,Master & above,m,other,1,50,4,17,1,0,47,Y
Sales & Marketing,region_29,Bachelors,m,sourcing,1,25,3,3,0,0,53,N
Sales & Marketing,region_1,Master & above,m,sourcing,1,35,4,2,1,0,52,N
R&D,region_26,Bachelors,m,other,1,34,5,5,0,0,87,N
Operations,region_13,Master & above,f,sourcing,1,31,3,3,1,0,58,N
Procurement,region_10,Bachelors,m,other,1,30,4,6,1,0,75,N
Analytics,region_31,Bachelors,m,other,1,30,3,7,1,0,84,Y
Operations,region_22,Bachelors,f,other,1,50,5,5,1,0,59,N
Technology,region_22,Master & above,m,other,1,34,5,7,1,0,78,Y
Sales & Marketing,region_2,Master & above,f,sourcing,1,41,1,12,0,0,52,N
Sales & Marketing,region_16,Bachelors,m,sourcing,1,32,4,6,0,0,44,N
Sales & Marketing,region_7,Bachelors,m,other,1,50,3,14,0,0,52,N
Sales & Marketing,region_2,Master & above,m,sourcing,1,38,4,2,1,0,49,Y
Sales & Marketing,region_27,Bachelors,m,sourcing,2,29,1,5,0,0,51,N
Sales & Marketing,region_30,Bachelors,m,sourcing,1,35,4,3,1,0,53,N
Analytics,region_2,Bachelors,m,other,1,25,3,2,1,0,91,N
Sales & Marketing,region_22,Bachelors,m,sourcing,1,30,3,3,0,0,58,Y
Technology,region_2,Bachelors,m,referred,1,47,3,7,0,0,79,N
Operations,region_4,Master & above,m,sourcing,1,35,2,7,0,0,53,N
R&D,region_22,Bachelors,m,other,1,36,4,8,0,0,82,N
Operations,region_11,Master & above,f,sourcing,1,42,5,11,1,0,60,Y
HR,region_20,Bachelors,f,sourcing,1,28,2,6,0,0,52,N
Procurement,region_7,Master & above,m,sourcing,1,32,5,3,1,0,69,Y
Analytics,region_12,Bachelors,m,other,1,34,3,8,0,0,85,N
Procurement,region_2,Master & above,m,sourcing,2,46,4,3,1,0,74,N
HR,region_2,Master & above,m,other,1,47,3,7,0,0,44,N
Operations,region_2,Bachelors,f,other,1,44,4,13,0,0,53,N
Analytics,region_14,Bachelors,m,sourcing,1,31,4,4,1,0,86,N
Operations,region_2,Bachelors,f,sourcing,1,33,3,5,0,0,57,N
Sales & Marketing,region_31,Bachelors,m,other,1,41,3,12,1,0,52,N
Finance,region_2,Master & above,m,other,1,60,5,17,0,0,59,N
Operations,region_15,Bachelors,m,other,1,31,5,4,1,0,63,Y
Operations,region_26,Bachelors,f,other,1,37,3,11,0,0,57,N
Analytics,region_7,Bachelors,m,sourcing,2,39,3,4,1,0,83,N
Sales & Marketing,region_7,Bachelors,m,other,1,40,5,8,1,0,54,N
Sales & Marketing,region_28,Master & above,m,sourcing,1,42,5,4,0,0,50,N
Operations,region_13,Bachelors,m,other,1,35,4,6,1,0,57,Y
Operations,region_13,Master & above,f,sourcing,1,41,4,6,1,0,62,N
Procurement,region_2,Bachelors,f,other,1,23,3,2,0,0,73,N
Sales & Marketing,region_16,Bachelors,m,sourcing,2,31,3,4,0,0,50,N
Analytics,region_22,Master & above,m,other,1,42,2,19,0,0,79,N
Sales & Marketing,region_22,Bachelors,m,other,3,29,4,2,0,0,49,N
Operations,region_2,Bachelors,m,sourcing,1,41,4,6,1,0,63,N
Sales & Marketing,region_7,Bachelors,f,other,1,40,3,2,1,0,90,Y
Sales & Marketing,region_2,Bachelors,m,referred,1,34,5,5,0,0,49,N
Sales & Marketing,region_4,Bachelors,f,other,1,31,4,2,0,0,46,N
Technology,region_2,Bachelors,m,other,1,27,5,2,0,0,86,Y
Procurement,region_21,Bachelors,m,sourcing,4,30,3,2,0,0,72,N
Procurement,region_23,Bachelors,f,other,1,27,4,4,1,0,72,Y
Technology,region_15,Bachelors,m,other,4,36,4,7,0,0,82,N
Technology,region_2,Bachelors,m,sourcing,1,35,4,6,0,0,77,N
Sales & Marketing,region_25,Master & above,m,other,1,34,5,7,1,0,51,Y
Procurement,region_34,Master & above,m,sourcing,1,37,5,3,0,1,92,Y
Procurement,region_2,Master & above,m,sourcing,2,47,3,5,1,0,71,N
Procurement,region_27,Master & above,f,other,1,40,5,5,0,0,68,N
Operations,region_1,Master & above,m,other,1,38,5,9,1,0,61,N
Sales & Marketing,region_25,Bachelors,m,other,1,30,3,2,0,0,47,N
Sales & Marketing,region_11,Bachelors,f,sourcing,1,28,5,3,0,0,46,N
Procurement,region_22,Bachelors,m,sourcing,2,28,5,4,1,0,67,N
Operations,region_29,Bachelors,m,sourcing,1,35,4,7,0,0,58,N
Analytics,region_22,Bachelors,m,other,1,32,3,8,0,0,89,Y
Sales & Marketing,region_26,Master & above,m,sourcing,1,36,5,8,0,0,50,N
Technology,region_15,Bachelors,m,other,1,27,3,4,1,0,78,N
Finance,region_28,Master & above,m,other,2,34,3,7,0,0,56,N
Technology,region_14,Bachelors,f,other,1,31,4,4,1,1,78,N
Technology,region_27,Bachelors,f,sourcing,1,30,4,2,0,0,77,N
Technology,region_29,Bachelors,f,other,2,30,3,7,1,1,76,N
Analytics,region_25,Bachelors,m,other,1,30,5,3,1,0,84,N
Finance,region_22,Bachelors,m,sourcing,1,28,3,2,0,0,57,N
Technology,region_2,Bachelors,m,other,2,28,3,5,0,0,81,N
Sales & Marketing,region_15,Bachelors,m,other,1,29,3,2,0,0,51,N
Sales & Marketing,region_22,Master & above,m,sourcing,1,46,3,11,1,0,51,N
Technology,region_29,Bachelors,m,sourcing,1,31,5,4,1,0,80,N
Procurement,region_5,Bachelors,m,sourcing,1,28,1,4,0,0,72,N
Sales & Marketing,region_4,Master & above,m,other,1,31,4,6,0,0,50,N
HR,region_7,Master & above,f,other,1,37,3,9,0,0,48,N
Technology,region_5,Bachelors,f,other,2,34,5,8,0,0,88,Y
Procurement,region_2,Bachelors,m,sourcing,1,25,5,3,1,0,70,Y
Operations,region_22,Master & above,m,sourcing,1,40,4,4,1,0,57,N
Operations,region_13,Master & above,m,other,1,43,3,7,1,0,56,Y
Operations,region_13,Bachelors,m,other,1,36,1,5,0,0,56,N
Legal,region_29,Bachelors,m,sourcing,1,29,3,3,0,0,63,N
Finance,region_13,Bachelors,m,sourcing,2,35,3,2,0,0,56,N
Analytics,region_25,Master & above,m,other,1,34,5,2,0,0,84,N
Sales & Marketing,region_16,Bachelors,f,sourcing,1,32,4,4,1,0,45,N
Technology,region_26,Bachelors,m,sourcing,1,29,3,5,0,0,75,N
Sales & Marketing,region_5,Bachelors,m,sourcing,1,34,1,4,0,0,48,N
Procurement,region_2,Master & above,m,sourcing,1,37,5,7,1,0,70,N
Procurement,region_22,Bachelors,f,other,1,33,3,3,1,0,73,N
Procurement,region_2,Master & above,f,other,1,33,5,4,1,0,67,N
Sales & Marketing,region_16,Bachelors,f,other,1,39,1,8,0,0,45,N
Technology,region_23,Master & above,m,other,1,34,4,7,0,0,82,N
Technology,region_22,Bachelors,m,other,2,32,4,6,0,0,84,N
Sales & Marketing,region_7,Master & above,m,other,1,34,4,6,0,0,53,N
Finance,region_12,Bachelors,m,other,1,29,5,6,1,0,61,N
Sales & Marketing,region_2,Bachelors,m,sourcing,2,28,1,2,0,0,50,N
Technology,region_7,Bachelors,f,other,1,28,2,5,0,0,75,N
Procurement,region_2,Master & above,f,other,2,35,3,9,0,0,70,N
Technology,region_2,Bachelors,f,other,2,40,3,3,0,0,86,N
Sales & Marketing,region_2,Bachelors,f,other,2,27,2,4,0,0,54,N
Procurement,region_22,Bachelors,f,other,3,26,3,3,1,0,70,N
Operations,region_2,Bachelors,m,sourcing,1,43,2,12,0,0,57,N
Analytics,region_25,Bachelors,m,sourcing,1,29,5,6,1,0,84,N
Sales & Marketing,region_14,Bachelors,m,sourcing,1,43,3,15,0,0,51,N
Sales & Marketing,region_2,Bachelors,m,sourcing,3,27,4,4,0,0,49,N
Procurement,region_27,Bachelors,m,sourcing,1,26,4,4,1,0,70,N
Procurement,region_13,Bachelors,f,other,1,31,5,5,1,0,72,N
Operations,region_7,Bachelors,m,other,1,40,4,11,0,0,58,N
Operations,region_15,Bachelors,f,other,2,39,5,12,1,0,55,N
Operations,region_2,Bachelors,f,other,2,30,3,6,0,0,57,N
Technology,region_2,Master & above,m,other,1,47,4,4,1,0,77,N
Sales & Marketing,region_17,Bachelors,m,other,1,34,4,7,1,0,48,Y
Sales & Marketing,region_23,Master & above,m,other,1,41,5,7,0,0,51,N
Technology,region_7,Bachelors,m,other,1,29,1,4,0,0,80,N
Analytics,region_31,Bachelors,f,other,1,32,3,4,0,0,86,N
Procurement,region_7,Master & above,f,other,1,47,5,9,0,0,68,N
Operations,region_27,Bachelors,m,other,1,35,4,3,0,0,65,N
Technology,region_22,Bachelors,m,other,1,27,4,2,0,0,75,N
Analytics,region_32,Bachelors,m,other,1,29,1,3,0,0,81,N
Sales & Marketing,region_20,Bachelors,m,sourcing,2,36,3,9,0,0,49,N
Sales & Marketing,region_15,Bachelors,m,other,2,35,1,8,0,0,39,N
Procurement,region_2,Bachelors,f,sourcing,2,34,3,2,0,0,70,N
Sales & Marketing,region_23,Master & above,f,sourcing,1,34,4,5,1,1,94,Y
Operations,region_2,Master & above,m,sourcing,1,39,3,2,1,0,60,N
Sales & Marketing,region_25,Bachelors,m,other,1,26,5,2,1,0,51,N
Operations,region_31,Bachelors,f,sourcing,1,30,5,4,0,0,56,N
HR,region_2,Master & above,m,sourcing,1,44,5,6,0,0,48,N
Sales & Marketing,region_1,Bachelors,m,other,1,38,3,4,1,0,49,N
Technology,region_26,Bachelors,m,other,1,40,1,3,0,0,78,N
Legal,region_2,Master & above,m,sourcing,1,50,5,6,0,1,58,N
Procurement,region_19,Master & above,m,other,1,44,3,12,0,0,70,N
Procurement,region_2,Below Secondary,f,other,1,23,1,2,0,0,69,N
Sales & Marketing,region_7,Master & above,f,sourcing,1,36,1,2,0,0,53,N
Analytics,region_27,Bachelors,m,sourcing,1,25,1,4,0,0,80,N
Operations,region_28,Bachelors,m,sourcing,1,34,5,4,1,0,58,N
Analytics,region_1,Bachelors,m,other,2,30,5,6,1,0,81,N
Procurement,region_12,Bachelors,m,sourcing,1,35,1,8,0,0,67,N
Analytics,region_6,Bachelors,m,sourcing,1,33,4,8,0,0,86,N
Analytics,region_13,Master & above,m,other,1,30,3,4,1,0,80,N
Analytics,region_26,Bachelors,m,other,2,27,5,3,1,0,85,N
Operations,region_2,Bachelors,m,sourcing,1,43,3,3,0,0,58,N
Analytics,region_22,Bachelors,m,other,2,28,3,5,1,0,86,N
Procurement,region_17,Bachelors,m,other,1,31,5,3,1,0,68,N
Operations,region_2,Bachelors,f,other,1,43,4,12,0,0,58,N
Operations,region_4,Bachelors,f,other,1,35,5,9,1,0,60,N
Sales & Marketing,region_5,Bachelors,m,other,2,35,3,9,0,0,49,N
Operations,region_2,Master & above,m,other,1,50,3,8,1,0,59,N
HR,region_17,Bachelors,f,other,1,26,4,3,0,0,50,N
Sales & Marketing,region_27,Bachelors,m,sourcing,1,32,3,5,1,0,52,N
Operations,region_13,Master & above,f,other,1,38,5,2,1,1,93,Y
Procurement,region_14,Bachelors,f,sourcing,1,37,3,9,0,0,69,N
Analytics,region_2,Bachelors,m,sourcing,2,54,3,9,1,0,86,N
Sales & Marketing,region_11,Bachelors,m,sourcing,1,36,3,8,0,0,51,N
Technology,region_6,Bachelors,m,other,1,35,3,8,0,0,78,N
Analytics,region_29,Bachelors,m,other,1,39,3,4,1,0,85,N
Operations,region_12,Bachelors,f,sourcing,1,31,5,4,1,0,63,N
Operations,region_31,Bachelors,m,other,2,38,3,7,1,1,60,N
Sales & Marketing,region_22,Bachelors,m,sourcing,1,28,1,2,0,0,48,N
Sales & Marketing,region_7,Bachelors,m,sourcing,3,26,2,3,0,0,52,N
Analytics,region_20,Bachelors,m,sourcing,1,30,3,4,0,0,84,N
Operations,region_22,Bachelors,m,sourcing,2,37,2,4,1,0,57,Y
Technology,region_22,Bachelors,m,referred,1,26,4,2,0,0,82,N
Technology,region_7,Bachelors,m,other,1,31,4,4,0,0,78,N
Technology,region_14,Bachelors,f,other,1,38,5,7,1,0,82,N
Sales & Marketing,region_13,Bachelors,m,other,1,39,4,9,0,0,49,N
Sales & Marketing,region_4,Bachelors,m,other,1,30,5,4,0,1,50,N
Procurement,region_15,Master & above,f,other,1,34,5,8,1,0,67,N
Procurement,region_23,Master & above,f,other,1,33,3,5,1,0,72,N
Technology,region_2,Bachelors,f,other,1,29,5,3,1,0,78,N
Operations,region_2,Bachelors,m,sourcing,1,28,4,2,1,0,61,N
Analytics,region_22,Bachelors,m,other,2,26,4,2,1,0,87,N
Legal,region_22,Bachelors,m,sourcing,1,34,5,4,0,0,64,N
Sales & Marketing,region_27,Bachelors,m,sourcing,1,35,3,7,0,0,46,N
Technology,region_13,Master & above,m,other,1,43,3,14,0,0,79,N
Sales & Marketing,region_15,Bachelors,m,other,1,34,1,8,0,0,39,N
Technology,region_7,Master & above,f,other,2,38,3,10,0,0,88,N
Operations,region_7,Bachelors,f,other,1,34,1,5,0,0,54,N
Operations,region_22,Bachelors,m,sourcing,1,41,4,4,0,0,63,N
Finance,region_7,Bachelors,m,sourcing,2,29,1,4,0,0,61,N
Operations,region_2,Bachelors,m,other,1,33,4,3,0,0,61,N
Sales & Marketing,region_2,Master & above,f,other,1,41,4,5,1,0,48,N
Operations,region_2,Master & above,m,other,3,38,3,11,0,0,57,N
Procurement,region_2,Master & above,f,other,2,54,4,23,0,0,66,N
Sales & Marketing,region_13,Master & above,f,sourcing,2,34,2,8,0,0,49,N
R&D,region_2,Bachelors,m,other,2,26,5,3,1,0,87,N
Operations,region_7,Bachelors,f,sourcing,1,35,5,3,0,0,59,N
Operations,region_33,Master & above,m,other,1,36,3,4,0,0,60,N
Technology,region_5,Bachelors,m,other,1,45,3,15,0,0,87,N
Procurement,region_7,Master & above,m,other,1,38,4,7,0,0,66,N
Sales & Marketing,region_27,Bachelors,f,other,1,26,2,4,0,0,47,N
Analytics,region_34,Bachelors,m,sourcing,1,32,3,7,0,0,87,N
Analytics,region_6,Bachelors,m,sourcing,1,29,4,4,0,0,78,N
Sales & Marketing,region_2,Bachelors,f,other,1,40,3,12,0,0,50,N
Technology,region_2,Bachelors,m,referred,2,29,4,6,0,0,75,N
Analytics,region_28,Bachelors,m,other,2,31,5,7,1,0,87,N
Finance,region_16,Bachelors,m,other,1,32,5,6,1,0,58,N
Operations,region_17,Bachelors,m,other,1,42,5,11,0,0,67,N
Procurement,region_15,Bachelors,f,sourcing,1,30,5,3,1,0,65,N
Procurement,region_16,Bachelors,f,other,1,24,3,2,1,0,70,N
Sales & Marketing,region_30,Bachelors,m,sourcing,1,35,3,7,0,0,56,N
Technology,region_5,Bachelors,f,sourcing,2,32,1,3,0,0,80,N
HR,region_2,Bachelors,f,sourcing,1,22,3,2,0,0,47,N
Sales & Marketing,region_2,Bachelors,m,sourcing,2,44,5,14,0,0,48,N
Operations,region_16,Bachelors,m,other,2,39,3,9,0,0,58,N
Technology,region_7,Bachelors,f,other,1,46,4,17,0,0,85,N
Technology,region_15,Bachelors,m,other,1,29,2,5,0,0,77,N
Finance,region_7,Bachelors,m,other,1,26,1,3,0,0,59,N
Operations,region_23,Bachelors,m,other,1,35,4,5,0,0,61,N
Procurement,region_2,Bachelors,f,other,1,29,4,2,1,0,95,Y
Technology,region_13,Bachelors,m,sourcing,1,30,2,9,0,0,79,N
Sales & Marketing,region_7,Bachelors,m,other,1,45,4,5,0,0,50,N
Sales & Marketing,region_15,Bachelors,f,other,1,30,1,6,0,0,47,N
Finance,region_32,Bachelors,m,sourcing,1,28,2,4,0,0,59,N
Technology,region_2,Master & above,m,sourcing,1,46,5,10,1,0,76,N
Procurement,region_7,Bachelors,m,sourcing,1,27,2,2,0,0,69,N
Sales & Marketing,region_11,Bachelors,m,sourcing,1,34,2,5,0,0,47,N
Analytics,region_19,Bachelors,m,sourcing,2,32,5,3,1,0,86,N
Operations,region_22,Bachelors,f,other,1,35,5,10,0,0,63,N
Procurement,region_27,Bachelors,m,other,1,36,4,3,1,0,66,N
Procurement,region_2,Master & above,f,other,1,58,1,13,0,0,70,N
Finance,region_31,Bachelors,m,other,1,29,4,4,0,0,57,N
Procurement,region_2,Bachelors,f,referred,1,33,3,3,1,0,67,N
Operations,region_16,Bachelors,f,other,1,32,5,6,0,0,62,N
Legal,region_22,Below Secondary,m,other,1,25,5,2,1,0,59,N
Procurement,region_13,Bachelors,m,other,4,41,2,9,0,0,68,N
Analytics,region_2,Master & above,m,other,1,50,1,7,0,1,79,N
Sales & Marketing,region_26,Bachelors,m,other,1,30,1,7,0,0,53,N
Analytics,region_20,Master & above,m,other,1,40,5,5,0,1,83,Y
Finance,region_2,Below Secondary,f,other,1,26,3,2,0,0,61,N
Technology,region_13,Bachelors,m,other,1,35,5,8,1,0,81,N
Sales & Marketing,region_7,Master & above,m,other,1,37,3,7,1,0,52,N
Operations,region_22,Master & above,m,other,1,34,3,3,0,0,75,Y
Operations,region_8,Bachelors,m,sourcing,1,25,3,2,0,0,57,N
Procurement,region_2,Bachelors,f,other,2,26,5,2,1,0,68,Y
Technology,region_2,Bachelors,f,other,1,31,4,7,1,0,80,N
Finance,region_2,Bachelors,m,sourcing,4,31,5,3,1,0,60,N
Analytics,region_25,Bachelors,m,sourcing,1,32,3,6,1,0,86,N
Sales & Marketing,region_19,Bachelors,m,sourcing,1,36,5,8,0,0,48,N
Technology,region_2,Bachelors,f,sourcing,1,57,3,19,0,0,81,N
Sales & Marketing,region_2,Bachelors,f,sourcing,1,42,4,9,0,0,51,N
Sales & Marketing,region_20,Bachelors,m,other,1,28,3,3,0,0,48,N
Analytics,region_12,Bachelors,m,sourcing,2,33,4,3,1,0,86,N
Analytics,region_2,Bachelors,m,sourcing,1,41,3,3,0,0,86,N
Procurement,region_12,Bachelors,f,other,1,32,5,5,0,1,84,Y
Operations,region_26,Master & above,m,other,1,41,3,7,0,0,58,N
Technology,region_2,Master & above,m,other,1,31,5,4,1,0,82,N
Sales & Marketing,region_26,Bachelors,m,other,1,37,4,5,0,0,54,N
Analytics,region_29,Bachelors,m,other,1,30,1,4,0,0,84,N
Finance,region_2,Below Secondary,m,other,1,26,5,2,1,0,60,N
Sales & Marketing,region_13,Bachelors,m,sourcing,1,44,5,11,0,0,42,N
Operations,region_7,Bachelors,f,sourcing,1,44,3,10,0,0,60,N
R&D,region_22,Master & above,m,other,1,30,4,2,1,0,96,Y
Operations,region_22,Below Secondary,m,other,1,24,3,2,0,0,59,N
Sales & Marketing,region_27,Bachelors,m,other,1,40,1,10,0,0,49,N
Technology,region_11,Master & above,m,other,1,32,3,5,0,0,80,N
Sales & Marketing,region_2,Bachelors,m,sourcing,1,40,5,7,0,0,53,N
Technology,region_7,Below Secondary,f,other,2,24,4,3,1,0,78,N
Sales & Marketing,region_26,Bachelors,m,other,1,45,4,15,0,0,64,Y
Sales & Marketing,region_2,Bachelors,f,other,1,34,5,5,0,0,60,Y
Technology,region_24,Bachelors,m,sourcing,1,35,3,7,0,0,82,N
Sales & Marketing,region_23,Bachelors,m,other,1,35,2,8,0,0,48,N
Technology,region_23,Bachelors,m,sourcing,1,31,1,2,0,0,81,N
Operations,region_29,Bachelors,m,other,1,33,3,5,0,0,60,N
HR,region_2,Master & above,f,sourcing,1,44,3,14,0,0,47,N
Procurement,region_2,Bachelors,m,other,2,34,2,10,0,0,69,N
Sales & Marketing,region_22,Bachelors,m,sourcing,1,37,5,2,0,0,54,N
Operations,region_26,Bachelors,m,other,2,31,3,4,0,0,63,N
Procurement,region_19,Bachelors,m,other,1,32,3,8,0,0,69,N
Operations,region_2,Bachelors,f,other,1,33,5,7,1,0,57,N
Operations,region_22,Bachelors,m,sourcing,2,37,5,4,1,0,57,N
Sales & Marketing,region_15,Bachelors,m,sourcing,1,30,2,5,0,0,49,N
Analytics,region_15,Bachelors,m,sourcing,1,35,5,3,1,0,81,N
Technology,region_11,Bachelors,m,sourcing,1,32,3,4,0,0,80,N
Operations,region_15,Bachelors,m,sourcing,1,45,3,9,0,0,61,N
Sales & Marketing,region_4,Bachelors,m,sourcing,2,31,3,4,0,0,53,N
Technology,region_15,Bachelors,m,sourcing,2,34,3,8,0,0,80,N
Operations,region_3,Master & above,f,other,1,31,5,7,1,0,59,N
Sales & Marketing,region_10,Master & above,f,other,1,37,3,6,1,0,47,N
Sales & Marketing,region_7,Master & above,m,other,1,42,3,12,0,0,48,N
Procurement,region_4,Master & above,m,other,1,40,3,6,0,0,72,N
Operations,region_2,Bachelors,m,sourcing,1,37,5,5,1,0,64,N
Operations,region_22,Bachelors,m,other,1,50,3,8,0,0,57,N
HR,region_2,Master & above,f,referred,1,57,3,13,0,0,53,N
Sales & Marketing,region_28,Master & above,m,other,2,42,2,10,0,0,46,N
Operations,region_2,Master & above,m,sourcing,1,34,3,8,0,0,61,N
Operations,region_2,Bachelors,f,sourcing,1,34,5,8,1,0,54,N
Operations,region_4,Master & above,f,referred,1,32,4,7,1,0,59,N
Operations,region_7,Bachelors,f,sourcing,1,27,5,2,0,0,61,N
Technology,region_33,Master & above,m,other,1,46,3,17,0,0,83,N
Sales & Marketing,region_1,Master & above,m,other,1,37,3,10,1,0,49,Y
Sales & Marketing,region_2,Bachelors,f,sourcing,1,48,4,13,0,0,52,N
Technology,region_2,Bachelors,m,other,1,40,5,12,1,0,84,N
Technology,region_20,Bachelors,m,other,1,32,3,6,0,0,73,N
Sales & Marketing,region_20,Bachelors,m,other,1,33,1,7,0,0,48,N
Procurement,region_23,Bachelors,f,other,1,35,3,6,0,0,66,N
Analytics,region_15,Master & above,m,other,1,32,3,4,0,0,86,N
Operations,region_2,Bachelors,m,sourcing,4,31,3,6,0,0,59,N
Operations,region_26,Bachelors,f,other,1,40,4,13,0,0,60,N
Procurement,region_2,Master & above,m,other,1,43,2,7,0,0,70,N
Operations,region_32,Master & above,m,other,1,38,3,6,0,0,60,N
Sales & Marketing,region_7,Bachelors,m,other,1,36,5,8,0,0,49,N
Procurement,region_7,Master & above,m,other,1,49,5,20,1,0,65,N
Sales & Marketing,region_22,Bachelors,f,sourcing,1,32,1,4,0,0,50,N
Analytics,region_2,Bachelors,m,other,2,26,3,2,0,0,91,N
Analytics,region_7,Bachelors,m,sourcing,1,55,3,18,0,0,87,N
HR,region_22,Master & above,f,other,1,35,3,5,0,0,50,N
Operations,region_9,Master & above,f,other,1,36,4,6,1,0,59,N
Sales & Marketing,region_30,Bachelors,m,other,1,29,5,4,1,0,45,N
Procurement,region_4,Bachelors,m,other,1,46,3,19,1,0,72,N
R&D,region_27,Bachelors,m,sourcing,2,30,3,4,0,0,84,N
Sales & Marketing,region_2,Bachelors,m,other,1,51,5,19,0,0,40,N
Sales & Marketing,region_29,Master & above,m,other,1,37,3,7,0,0,54,N
HR,region_32,Bachelors,f,other,1,31,3,7,0,0,51,N
Operations,region_7,Master & above,f,sourcing,2,38,4,9,1,0,65,N
Sales & Marketing,region_2,Master & above,f,other,1,43,1,10,0,0,45,N
Technology,region_7,Bachelors,m,sourcing,3,29,3,4,0,0,81,N
Technology,region_22,Master & above,f,sourcing,1,30,3,2,0,0,79,N
HR,region_2,Bachelors,f,other,1,49,5,22,1,0,50,N
Analytics,region_7,Master & above,m,other,1,49,4,5,0,0,90,N
Sales & Marketing,region_7,Master & above,m,sourcing,1,36,2,5,0,0,48,N
Procurement,region_10,Master & above,m,sourcing,1,33,1,3,0,0,71,N
Sales & Marketing,region_22,Master & above,m,other,3,52,3,25,0,0,49,N
Operations,region_7,Bachelors,m,other,1,37,3,11,0,0,56,N
Finance,region_22,Below Secondary,m,other,1,25,3,3,0,0,61,N
Technology,region_7,Master & above,f,referred,1,37,4,13,0,0,79,N
Operations,region_14,Bachelors,m,other,1,35,5,10,1,0,59,Y
